stationID,count
293,2873
497,2442
435,2413
285,2400
151,2376
426,2105
250,2064
368,2025
382,2020
402,1971
504,1964
161,1745
507,1709
496,1672
445,1661
483,1618
537,1569
432,1538
336,1525
284,1521
446,1521
348,1506
168,1502
459,1489
461,1479
511,1471
444,1468
358,1422
458,1415
401,1411
519,1405
297,1375
375,1366
528,1359
335,1356
523,1356
251,1350
237,1343
127,1334
527,1310
236,1290
536,1272
489,1265
499,1264
380,1259
312,1245
442,1241
433,1240
301,1236
428,1183
361,1175
128,1172
505,1162
531,1161
294,1155
438,1146
327,1141
405,1108
334,1104
498,1101
482,1095
326,1093
394,1065
476,1065
462,1047
345,1040
503,1034
116,1029
229,1027
521,1025
490,1024
494,1018
466,1010
545,1002
486,994
403,989
253,988
492,988
472,984
147,979
225,965
388,965
518,965
439,961
2010,932
488,915
463,909
546,907
410,905
379,901
477,885
491,882
474,881
300,880
479,871
347,869
514,863
475,862
2003,853
317,849
307,848
434,829
509,823
223,813
448,813
470,810
252,809
457,806
303,805
383,802
265,793
417,793
387,790
487,783
515,779
453,760
268,754
512,751
174,747
329,745
3002,731
526,731
263,725
2012,721
404,719
2004,709
325,705
369,703
346,695
352,692
257,688
447,682
328,679
150,673
532,673
281,672
280,670
355,667
495,662
305,654
478,653
485,645
473,643
412,638
290,626
72,623
2021,608
377,605
2002,597
2006,588
449,585
501,580
295,574
480,572
2008,565
247,565
363,565
304,562
311,560
167,557
465,557
254,556
517,549
540,548
430,544
306,538
508,529
212,528
296,524
533,524
530,522
441,520
160,519
316,519
279,511
238,510
3141,506
357,502
539,502
529,500
318,490
146,486
450,484
330,483
525,480
153,473
224,466
315,466
362,466
79,464
264,462
376,461
484,459
415,454
349,453
195,452
423,450
164,447
468,447
309,440
385,439
359,438
393,435
152,433
276,432
440,427
320,421
524,420
351,417
510,414
500,411
173,407
259,406
513,403
308,395
302,380
267,374
467,371
3224,369
360,366
228,364
324,363
522,360
3090,358
520,354
471,350
249,344
422,342
366,340
493,340
323,336
239,335
386,333
341,330
137,328
2009,323
469,323
460,316
310,314
367,313
3104,312
3093,310
356,310
2022,309
391,309
411,303
464,303
266,301
3140,300
350,297
454,296
427,294
342,293
455,288
481,287
3156,281
83,275
2017,272
2023,271
2000,269
392,266
157,262
217,253
3147,253
337,244
3142,243
340,242
248,238
331,238
456,234
261,233
260,232
3107,226
437,224
314,219
389,218
400,218
396,214
534,214
398,211
516,208
3158,207
3092,206
3134,206
3170,206
244,205
270,200
3086,198
3175,198
258,197
365,195
3231,192
242,191
3112,188
274,187
502,187
408,185
313,182
82,182
3135,177
278,173
243,172
144,170
282,170
3164,169
397,169
3159,164
3223,163
3074,161
390,160
416,157
319,156
332,155
143,153
418,153
3119,148
538,148
3101,146
3129,145
364,144
414,144
384,140
419,139
3087,138
3106,138
3222,137
3109,136
3177,136
399,134
3139,133
3150,129
339,128
3132,127
3145,124
291,123
241,121
3102,121
3103,121
322,121
353,119
395,119
3172,118
3124,117
3165,117
406,116
271,115
120,113
3148,113
321,113
3115,110
3136,110
354,109
262,106
3167,102
409,101
3110,100
3163,99
3097,98
3143,98
3113,96
218,95
245,95
3108,94
436,94
420,93
3137,92
421,92
373,91
3149,90
3088,88
3117,87
3111,86
3233,85
3235,85
233,84
344,83
232,81
343,81
431,81
3169,80
3079,79
3126,79
3146,79
289,78
3166,77
3091,75
3060,74
275,72
3068,72
3094,69
3176,69
3168,68
3077,66
3173,66
3144,65
3178,65
3071,64
3160,64
3083,61
3133,61
372,61
3082,60
3125,60
3162,57
3062,56
3121,54
3155,54
3181,54
216,53
3182,53
3234,53
3064,51
3171,51
3095,48
3161,46
298,45
3084,45
3085,45
3050,44
3105,44
3054,42
3070,42
3098,42
443,42
119,39
3042,38
3058,38
3180,37
3076,36
3118,36
3081,35
3041,34
3047,34
407,34
3080,33
3226,33
3073,32
3072,29
3120,29
3067,28
3055,27
3116,26
3157,26
3048,25
3059,25
3221,25
3114,24
3179,23
2001,21
3049,21
3063,21
3075,21
3123,21
3229,21
3056,20
3069,20
3232,20
3065,17
3066,17
3057,16
3122,16
3053,15
3016,13
3043,13
3052,12
3128,12
3061,11
3127,10
3044,7
3046,7
2005,3
3230,3
3014,2
3099,2
3130,2
3237,1
