stationID,count
356,19
3124,17
546,16
3231,15
507,14
360,13
375,13
151,12
3048,12
401,12
433,12
3164,11
350,11
389,11
476,11
251,10
474,10
3172,9
250,8
326,8
344,8
348,8
2010,7
278,7
3052,7
520,7
146,6
237,6
285,6
312,6
392,6
531,6
540,6
116,5
127,5
161,5
168,5
173,5
2022,5
261,5
263,5
294,5
3226,5
336,5
346,5
415,5
479,5
480,5
483,5
497,5
503,5
509,5
83,5
2012,4
257,4
265,4
274,4
280,4
3079,4
3083,4
3087,4
3171,4
347,4
354,4
382,4
402,4
430,4
472,4
494,4
499,4
529,4
539,4
72,4
2002,3
2003,3
2017,3
236,3
264,3
268,3
3064,3
3086,3
310,3
3121,3
3133,3
3167,3
317,3
324,3
335,3
337,3
342,3
359,3
383,3
432,3
435,3
442,3
461,3
466,3
492,3
496,3
504,3
510,3
144,2
174,2
2008,2
2021,2
218,2
239,2
3104,2
311,2
3119,2
3141,2
3168,2
3177,2
3222,2
364,2
368,2
373,2
377,2
380,2
391,2
403,2
405,2
418,2
434,2
439,2
444,2
445,2
446,2
462,2
463,2
467,2
469,2
471,2
478,2
482,2
484,2
491,2
493,2
521,2
526,2
120,1
128,1
143,1
152,1
164,1
2000,1
216,1
217,1
223,1
225,1
228,1
232,1
243,1
244,1
245,1
252,1
267,1
279,1
281,1
289,1
293,1
297,1
300,1
3042,1
3046,1
305,1
3050,1
3053,1
3056,1
306,1
3061,1
307,1
3073,1
3074,1
3077,1
3082,1
3091,1
3092,1
3093,1
3097,1
3102,1
3110,1
3112,1
3125,1
313,1
3134,1
3137,1
3145,1
3159,1
3160,1
3165,1
3170,1
3180,1
320,1
3224,1
327,1
328,1
331,1
334,1
341,1
351,1
355,1
358,1
361,1
363,1
365,1
369,1
372,1
376,1
379,1
384,1
386,1
387,1
388,1
390,1
393,1
395,1
396,1
398,1
412,1
414,1
417,1
422,1
423,1
426,1
431,1
437,1
440,1
441,1
447,1
448,1
453,1
455,1
456,1
458,1
460,1
465,1
470,1
473,1
486,1
490,1
495,1
500,1
512,1
513,1
514,1
515,1
516,1
518,1
519,1
522,1
523,1
524,1
527,1
530,1
532,1
533,1
537,1
545,1
82,1
