stationID,count
293,8462
519,8397
497,7956
435,7598
285,6359
151,6271
284,6266
426,5946
402,5915
250,5715
477,5714
444,5462
368,5428
490,5284
382,5153
459,5080
446,5061
327,5029
168,4802
537,4700
116,4630
499,4630
358,4600
521,4521
463,4433
127,4425
379,4338
505,4239
523,4232
318,4207
496,4202
462,4115
466,4113
442,4070
491,4020
458,4009
380,3971
483,3958
147,3946
492,3946
488,3923
472,3901
517,3849
251,3836
375,3835
509,3809
417,3794
479,3774
128,3748
518,3740
405,3735
457,3643
345,3632
348,3591
486,3568
494,3552
474,3540
546,3521
498,3501
305,3462
510,3461
359,3450
482,3444
489,3408
504,3397
453,3387
536,3347
334,3328
447,3313
352,3310
2021,3305
347,3296
461,3254
465,3248
236,3232
432,3206
281,3203
237,3202
503,3200
329,3181
528,3155
526,3142
401,3132
161,3123
515,3113
507,3111
336,3110
173,3095
468,3095
383,3046
527,3043
410,3020
500,3019
312,2996
470,2981
297,2971
434,2948
475,2928
484,2915
476,2874
445,2862
428,2848
223,2840
268,2839
448,2788
387,2732
450,2726
2004,2722
229,2700
301,2697
438,2686
3002,2672
335,2659
449,2656
495,2656
326,2598
478,2582
167,2581
531,2564
252,2541
511,2520
514,2499
303,2493
404,2483
545,2481
361,2468
529,2428
153,2425
307,2425
263,2414
520,2407
512,2399
377,2387
257,2386
388,2386
225,2385
480,2382
440,2381
212,2379
439,2373
265,2371
228,2364
485,2350
433,2317
346,2310
2010,2309
2006,2281
415,2265
533,2239
469,2238
524,2222
280,2211
328,2210
195,2182
403,2177
72,2172
456,2169
137,2163
290,2160
369,2150
300,2088
493,2075
325,2070
367,2030
423,2006
79,2004
304,2002
522,2000
253,1998
294,1979
513,1958
247,1951
160,1941
530,1929
164,1926
355,1897
363,1874
487,1871
540,1854
360,1823
441,1819
532,1800
267,1798
2008,1797
394,1796
430,1783
473,1782
316,1778
146,1776
362,1760
317,1752
357,1751
306,1748
309,1740
539,1726
2012,1693
320,1680
455,1675
501,1660
412,1637
2002,1622
534,1614
351,1606
508,1603
264,1580
376,1568
315,1559
279,1553
386,1542
238,1538
337,1533
152,1515
2000,1510
2023,1504
174,1486
323,1478
385,1464
3141,1452
525,1450
260,1445
310,1441
276,1421
311,1412
330,1408
422,1404
259,1393
324,1368
2003,1357
249,1343
427,1335
254,1325
295,1318
308,1266
454,1245
150,1221
350,1182
224,1180
2017,1179
2022,1174
538,1168
414,1166
296,1123
467,1120
471,1114
391,1083
411,1066
516,1066
356,1030
393,1018
270,996
314,986
83,977
460,976
239,966
366,950
464,944
3090,936
3224,905
243,839
389,837
3156,835
313,834
217,833
157,827
143,826
3119,822
395,822
261,806
390,801
341,792
349,775
274,771
3104,768
248,764
3223,764
392,764
502,740
3093,730
416,723
398,708
291,702
3159,702
271,692
340,674
3134,673
3142,671
353,663
258,660
481,656
397,632
3112,618
408,609
302,603
3140,600
3158,598
365,598
244,597
332,567
3086,557
406,552
331,550
241,549
2009,547
3092,547
319,546
3175,544
420,541
399,528
262,525
3132,525
3147,514
418,510
3135,505
3170,504
342,499
396,496
3222,493
233,488
282,487
437,484
3231,482
364,476
266,471
3235,469
82,463
3107,462
218,458
242,455
3101,452
3164,452
298,451
373,450
275,443
3177,443
354,428
344,426
322,425
3145,422
321,418
3113,415
3167,411
3115,402
3108,398
120,392
384,388
3233,378
421,378
3102,370
3124,370
3110,368
3176,366
3172,361
409,360
339,349
3165,348
400,341
3087,340
232,339
3126,329
216,318
3129,316
3103,301
3150,296
3169,296
343,296
144,292
3136,289
3163,289
3106,286
3168,285
245,279
3111,272
3074,267
407,266
3139,264
3149,263
278,252
3148,251
3166,251
3125,244
3079,235
3084,227
3098,225
3146,221
436,214
372,213
3137,210
3178,206
3083,204
3234,204
3118,196
3091,191
3081,188
3109,187
3143,187
3094,185
3144,183
419,183
3077,175
3082,175
3064,171
3097,171
3173,169
3160,168
289,164
3162,162
3120,161
3076,156
3085,156
3133,155
2001,151
3088,150
3114,144
431,142
3155,138
3121,133
3117,129
3171,128
3161,124
443,115
3073,114
3226,114
3080,107
3095,107
3058,106
3105,104
3180,101
3042,96
3062,96
2005,95
3116,94
3127,93
3071,92
3068,90
3182,86
3075,82
3221,80
3069,79
3049,78
3066,78
3052,77
3055,76
3181,75
3067,73
3122,73
3047,70
3060,69
3232,69
3123,66
3056,65
3065,65
3043,62
3128,61
119,58
3157,57
3070,55
3072,49
3041,46
3050,42
3057,42
3179,41
3063,40
3053,37
3048,36
3054,36
3046,31
3016,29
3061,28
3059,24
3044,22
3229,22
3230,21
3130,18
3099,8
3014,4
255,1
3237,1
