stationID,count
2006,15682
387,12147
281,10325
426,8828
514,8420
499,7602
217,5945
405,5799
327,5426
457,5299
444,4657
3002,4645
532,4583
225,4581
151,4522
459,4444
497,4080
368,3710
2008,3660
427,3656
463,3536
279,3509
304,3487
358,3354
285,3270
293,3262
519,3239
348,3233
315,3175
525,2984
250,2907
386,2886
404,2866
521,2739
173,2671
232,2667
3165,2662
259,2635
380,2613
352,2580
417,2558
505,2539
195,2527
539,2520
363,2519
458,2471
462,2468
402,2460
251,2456
382,2350
398,2332
501,2330
321,2302
147,2262
309,2237
312,2227
127,2226
2021,2185
284,2176
447,2164
2002,2161
224,2143
510,2140
529,2126
530,2071
3143,2059
2000,2046
3137,2028
401,2018
486,2014
268,2013
336,1990
465,1990
412,1987
2010,1964
435,1964
468,1960
477,1960
492,1959
375,1930
526,1923
388,1918
161,1884
479,1879
498,1864
509,1849
392,1840
500,1828
377,1799
72,1785
346,1784
236,1772
294,1763
520,1750
322,1749
474,1736
3160,1719
247,1715
252,1690
212,1686
328,1686
478,1684
445,1677
237,1675
303,1669
128,1660
347,1655
490,1647
432,1643
489,1624
484,1588
534,1561
494,1558
434,1547
523,1539
305,1529
430,1521
403,1498
335,1489
493,1488
137,1484
355,1483
282,1481
257,1480
496,1468
3168,1460
3136,1457
3104,1436
442,1419
330,1412
238,1406
488,1404
168,1402
410,1398
265,1397
455,1396
546,1376
2004,1371
329,1367
446,1365
533,1364
453,1353
438,1342
508,1336
485,1330
267,1322
469,1318
515,1315
473,1312
531,1312
483,1303
537,1287
512,1284
153,1281
470,1278
362,1274
379,1269
79,1269
518,1260
351,1258
361,1251
263,1246
345,1244
383,1243
503,1240
216,1237
301,1228
116,1222
229,1208
466,1194
504,1168
326,1155
280,1153
369,1151
472,1139
439,1135
296,1121
152,1114
461,1110
389,1108
527,1106
83,1106
471,1102
481,1100
290,1091
3163,1090
524,1090
428,1089
517,1080
307,1072
449,1072
495,1067
223,1065
297,1060
448,1060
415,1058
334,1057
491,1041
476,1040
332,1038
343,1036
507,1036
146,1030
316,1015
482,1013
253,1005
545,1005
167,994
300,988
3180,976
311,962
3145,957
456,956
522,948
422,940
144,935
228,922
306,919
441,908
414,905
308,901
314,891
3170,884
318,881
487,881
337,879
357,864
242,863
460,862
3224,860
391,859
433,859
528,849
320,843
3164,841
359,833
536,828
264,823
450,823
360,819
164,806
310,805
511,796
3158,793
82,793
513,767
467,760
440,758
480,756
317,754
276,743
350,739
2022,737
423,733
319,727
394,727
260,720
3093,718
3139,716
3181,715
406,710
475,708
516,695
356,690
2003,685
367,684
254,675
157,673
376,667
160,661
295,658
3141,656
2023,654
249,641
3182,634
323,621
408,621
261,607
3169,601
454,588
407,587
3178,582
538,582
2012,568
3144,568
349,560
174,556
233,551
325,551
3107,540
3177,530
331,525
3103,521
3142,512
3129,510
540,508
341,506
324,504
2017,500
3132,498
150,494
143,489
443,474
418,471
3140,468
393,458
3172,455
411,455
258,450
3166,437
396,435
3090,428
3147,427
3159,424
3156,421
241,417
291,416
3101,406
313,406
385,396
366,394
274,392
420,392
2009,383
3134,382
3175,379
397,372
278,370
464,370
248,367
437,363
409,362
365,361
3092,358
3226,355
245,354
3146,348
502,343
390,339
372,335
3135,328
3231,326
373,317
3112,305
243,299
342,299
302,285
395,285
3118,283
354,281
3120,278
364,278
399,278
266,275
340,271
3167,262
400,262
3074,261
3087,260
3173,259
344,255
3176,248
270,245
3115,242
384,239
3223,238
3119,237
3233,235
298,230
239,229
3149,229
3150,229
244,227
262,224
3124,217
271,215
218,211
3016,208
416,204
436,202
353,201
120,197
3117,197
339,197
3148,193
3102,186
3133,185
3161,181
3108,173
3113,172
3126,172
3109,170
3086,169
2001,161
3085,161
3079,160
3088,160
3121,158
3162,152
3064,148
3235,141
119,140
275,137
3068,135
3071,135
3075,135
3110,135
3073,134
3106,127
3222,123
3065,120
3084,118
3091,111
3111,109
421,108
289,107
3125,107
419,107
3083,106
3157,102
3114,101
3082,100
3076,94
3127,89
3171,87
3069,86
3014,85
3050,85
3057,85
3081,82
3055,81
3052,79
3116,77
3122,75
3155,75
431,75
3062,74
3128,74
3067,73
3232,73
3234,71
3105,68
3130,68
3097,67
3066,66
3094,66
3098,66
3077,64
3042,62
3095,62
3054,61
3072,59
3058,58
3060,56
3179,56
3053,55
3080,53
3043,52
3063,51
3056,48
3061,47
3123,43
3048,42
3059,42
3047,39
3070,39
3046,36
3041,34
2005,33
3044,32
3221,29
3049,22
3229,21
3230,13
3099,3
3237,2
255,1
